author_id,report_id,no_of_srrs,no_of_psrs,percent_srrs,author_full_name
35354080500,"[1, 2, 3]",3,0,1.0,George Davey Smith
35354413600,[70],0,1,0.0,Sumio Yamada
35355625800,[84],0,1,0.0,Hans Henrik Parving
35364166500,[77],0,1,0.0,Yu Jin
35368592500,[52],0,1,0.0,Jing Fang
35369762100,[66],0,1,0.0,Shizuka Sasazuki
35371466600,[62],0,1,0.0,Takashi Kadowaki
35374599100,[88],0,1,0.0,Nobuhiro Yamada
35377249400,[28],0,1,0.0,Elizabeth Barrett-Connor
35378587200,[77],0,1,0.0,Lutgarde Thijs
35380806400,"[42, 55, 56, 32, 38]",0,5,0.0,Shiriki Kumanyika
35393454400,[47],0,1,0.0,Aulikki Nissinen
35415193200,[79],0,1,0.0,Marta Gwinn
35450164300,[77],0,1,0.0,Tatiana Kuznetsova
35461916400,"[78, 87, 69]",0,3,0.0,Merlin C. Thomas
35466880500,"[78, 87, 69]",0,3,0.0,John Moran
35477069300,[68],0,1,0.0,Joan Ivanov
35492452300,[12],1,0,1.0,Sheldon Gottlieb
35512468100,[47],0,1,0.0,Antti Tanskanen
35551905400,[26],0,1,0.0,S. Carney
35607760300,[91],0,1,0.0,Prem Mony
35740127300,[68],0,1,0.0,Vanessa Floras
35938928800,[54],0,1,0.0,John Prescott
36009215200,[61],0,1,0.0,Mitsumasa Umesawa
36012823000,[47],0,1,0.0,Jaakko Tuomilehto
36038688700,[79],0,1,0.0,Frank B. Hu
36040369400,[83],0,1,0.0,J. Woo
36047010400,"[55, 56, 32, 38]",0,4,0.0,Julie E. Buring
36060620400,[65],0,1,0.0,Zhikai Yang
36122286500,[91],0,1,0.0,Rita Yusuf
36174463800,[75],0,1,0.0,Gabriella Terrazzino
36192458400,[87],0,1,0.0,Despina Tsorotes
36339275900,[54],0,1,0.0,Barry Gray
36339634000,[51],0,1,0.0,Li San Hsu
36793200200,[51],0,1,0.0,Shin Yin Tsai
36925127400,[70],0,1,0.0,Yuji Kono
37035524500,[67],0,1,0.0,Kiyomi Yuhara
37055692300,[84],0,1,0.0,Frank A. Holtkamp
37121117800,[68],0,1,0.0,Alexa Sasson
42062716900,"[9, 8]",2,0,1.0,Anna Ziolkovska
42461073800,[70],0,1,0.0,Amane Araki
42461724700,[70],0,1,0.0,Kenta Kamisaka
53264138900,[91],0,1,0.0,Lanthe Kruger
53877659300,[76],0,1,0.0,Yongjik Lee
53877753100,[65],0,1,0.0,Yanjun Li
53879483800,[12],1,0,1.0,Alma J. Adler
54419069700,[88],0,1,0.0,Akira Tanaka
55085556800,[80],0,1,0.0,Wladimir M. Freitas
55086691300,[80],0,1,0.0,Ana Paula R. Costa
55087559100,[80],0,1,0.0,Osorio L.R. de Almeida
55087646000,[80],0,1,0.0,Guilherme F. Carvalho
55088640300,[80],0,1,0.0,Rafaela C.S. de Paula
55092236400,[80],0,1,0.0,Juliana P. Ara??jo
55124900800,"[84, 89]",0,2,0.0,Gerjan Navis
55136664800,[69],0,1,0.0,Karey Cheong
55166257800,[62],0,1,0.0,Hirotsugu Ueshima
55169930900,[85],0,1,0.0,Finnian R. Mc Causland
55233551200,[70],0,1,0.0,Yusuke Fujioka
