source,target,no_of_reports_coauthored,no_of_srrs_coauthored,no_of_psrs_coauthored,percent_srrs
5,144,1.0,0.0,1.0,0.0
5,145,1.0,0.0,1.0,0.0
5,146,1.0,0.0,1.0,0.0
5,147,1.0,0.0,1.0,0.0
5,148,1.0,0.0,1.0,0.0
5,149,1.0,0.0,1.0,0.0
5,150,1.0,0.0,1.0,0.0
5,151,1.0,0.0,1.0,0.0
5,152,1.0,0.0,1.0,0.0
5,153,1.0,0.0,1.0,0.0
5,154,1.0,0.0,1.0,0.0
5,155,1.0,0.0,1.0,0.0
5,156,1.0,0.0,1.0,0.0
5,157,1.0,0.0,1.0,0.0
5,158,1.0,0.0,1.0,0.0
5,159,1.0,0.0,1.0,0.0
5,160,1.0,0.0,1.0,0.0
5,161,1.0,0.0,1.0,0.0
5,162,1.0,0.0,1.0,0.0
5,163,1.0,0.0,1.0,0.0
5,164,1.0,0.0,1.0,0.0
5,165,1.0,0.0,1.0,0.0
5,166,1.0,0.0,1.0,0.0
5,167,1.0,0.0,1.0,0.0
5,168,1.0,0.0,1.0,0.0
5,169,1.0,0.0,1.0,0.0
5,170,1.0,0.0,1.0,0.0
5,171,1.0,0.0,1.0,0.0
5,172,1.0,0.0,1.0,0.0
5,173,1.0,0.0,1.0,0.0
5,174,1.0,0.0,1.0,0.0
5,175,1.0,0.0,1.0,0.0
5,176,1.0,0.0,1.0,0.0
5,177,1.0,0.0,1.0,0.0
5,178,1.0,0.0,1.0,0.0
5,179,1.0,0.0,1.0,0.0
5,180,1.0,0.0,1.0,0.0
5,181,1.0,0.0,1.0,0.0
5,182,1.0,0.0,1.0,0.0
5,193,1.0,0.0,1.0,0.0
5,194,1.0,0.0,1.0,0.0
5,195,1.0,0.0,1.0,0.0
5,196,1.0,0.0,1.0,0.0
5,197,1.0,0.0,1.0,0.0
5,198,1.0,0.0,1.0,0.0
5,199,1.0,0.0,1.0,0.0
5,7004891687,2.0,0.0,2.0,0.0
5,7006694590,2.0,0.0,2.0,0.0
5,7102422991,2.0,0.0,2.0,0.0
5,7102658830,2.0,0.0,2.0,0.0
5,7103041111,2.0,0.0,2.0,0.0
5,7202992021,2.0,0.0,2.0,0.0
5,35380806400,2.0,0.0,2.0,0.0
5,36047010400,2.0,0.0,2.0,0.0
6,1,2.0,0.0,2.0,0.0
6,7,2.0,0.0,2.0,0.0
6,81,2.0,0.0,2.0,0.0
6,202,1.0,0.0,1.0,0.0
6,203,2.0,0.0,2.0,0.0
6,204,1.0,0.0,1.0,0.0
6,7102422991,2.0,0.0,2.0,0.0
7,1,2.0,0.0,2.0,0.0
7,6,2.0,0.0,2.0,0.0
7,81,2.0,0.0,2.0,0.0
7,202,1.0,0.0,1.0,0.0
7,203,2.0,0.0,2.0,0.0
7,204,1.0,0.0,1.0,0.0
7,7102422991,2.0,0.0,2.0,0.0
8,9,1.0,0.0,1.0,0.0
8,10,1.0,0.0,1.0,0.0
8,11,1.0,0.0,1.0,0.0
8,12,1.0,0.0,1.0,0.0
8,13,1.0,0.0,1.0,0.0
9,8,1.0,0.0,1.0,0.0
9,10,1.0,0.0,1.0,0.0
9,11,1.0,0.0,1.0,0.0
9,12,1.0,0.0,1.0,0.0
9,13,1.0,0.0,1.0,0.0
10,8,1.0,0.0,1.0,0.0
10,9,1.0,0.0,1.0,0.0
10,11,1.0,0.0,1.0,0.0
10,12,1.0,0.0,1.0,0.0
10,13,1.0,0.0,1.0,0.0
11,8,1.0,0.0,1.0,0.0
11,9,1.0,0.0,1.0,0.0
11,10,1.0,0.0,1.0,0.0
11,12,1.0,0.0,1.0,0.0
11,13,1.0,0.0,1.0,0.0
12,8,1.0,0.0,1.0,0.0
12,9,1.0,0.0,1.0,0.0
12,10,1.0,0.0,1.0,0.0
12,11,1.0,0.0,1.0,0.0
12,13,1.0,0.0,1.0,0.0
13,8,1.0,0.0,1.0,0.0
13,9,1.0,0.0,1.0,0.0
13,10,1.0,0.0,1.0,0.0
13,11,1.0,0.0,1.0,0.0
13,12,1.0,0.0,1.0,0.0
14,15,1.0,0.0,1.0,0.0
14,6601967008,1.0,0.0,1.0,0.0
14,7101785555,1.0,0.0,1.0,0.0
14,7402437110,1.0,0.0,1.0,0.0
15,14,1.0,0.0,1.0,0.0
15,6601967008,1.0,0.0,1.0,0.0
15,7101785555,1.0,0.0,1.0,0.0
15,7402437110,1.0,0.0,1.0,0.0
16,1,1.0,0.0,1.0,0.0
16,5,1.0,0.0,1.0,0.0
16,17,1.0,0.0,1.0,0.0
16,18,2.0,0.0,2.0,0.0
16,19,2.0,0.0,2.0,0.0
16,20,2.0,0.0,2.0,0.0
16,21,1.0,0.0,1.0,0.0
16,22,2.0,0.0,2.0,0.0
16,23,1.0,0.0,1.0,0.0
16,24,1.0,0.0,1.0,0.0
16,25,1.0,0.0,1.0,0.0
16,26,1.0,0.0,1.0,0.0
16,27,1.0,0.0,1.0,0.0
16,28,1.0,0.0,1.0,0.0
16,29,1.0,0.0,1.0,0.0
16,30,1.0,0.0,1.0,0.0
16,31,2.0,0.0,2.0,0.0
16,32,1.0,0.0,1.0,0.0
16,33,1.0,0.0,1.0,0.0
16,34,1.0,0.0,1.0,0.0
16,35,1.0,0.0,1.0,0.0
16,36,1.0,0.0,1.0,0.0
16,37,1.0,0.0,1.0,0.0
16,38,1.0,0.0,1.0,0.0
16,39,1.0,0.0,1.0,0.0
16,40,1.0,0.0,1.0,0.0
16,41,1.0,0.0,1.0,0.0
16,42,1.0,0.0,1.0,0.0
16,43,1.0,0.0,1.0,0.0
16,44,1.0,0.0,1.0,0.0
16,45,1.0,0.0,1.0,0.0
16,46,1.0,0.0,1.0,0.0
16,47,1.0,0.0,1.0,0.0
16,48,1.0,0.0,1.0,0.0
16,49,1.0,0.0,1.0,0.0
16,50,1.0,0.0,1.0,0.0
16,51,1.0,0.0,1.0,0.0
16,52,1.0,0.0,1.0,0.0
16,53,1.0,0.0,1.0,0.0
16,54,1.0,0.0,1.0,0.0
16,55,1.0,0.0,1.0,0.0
16,56,1.0,0.0,1.0,0.0
16,57,1.0,0.0,1.0,0.0
16,58,1.0,0.0,1.0,0.0
16,59,1.0,0.0,1.0,0.0
16,60,1.0,0.0,1.0,0.0
16,61,1.0,0.0,1.0,0.0
16,62,1.0,0.0,1.0,0.0
16,63,1.0,0.0,1.0,0.0
16,64,1.0,0.0,1.0,0.0
16,65,1.0,0.0,1.0,0.0
16,66,1.0,0.0,1.0,0.0
16,67,1.0,0.0,1.0,0.0
16,68,1.0,0.0,1.0,0.0
16,69,1.0,0.0,1.0,0.0
16,70,1.0,0.0,1.0,0.0
16,71,1.0,0.0,1.0,0.0
16,72,1.0,0.0,1.0,0.0
16,73,1.0,0.0,1.0,0.0
16,74,1.0,0.0,1.0,0.0
16,75,1.0,0.0,1.0,0.0
16,76,1.0,0.0,1.0,0.0
16,77,1.0,0.0,1.0,0.0
16,78,1.0,0.0,1.0,0.0
16,79,1.0,0.0,1.0,0.0
16,80,1.0,0.0,1.0,0.0
16,81,1.0,0.0,1.0,0.0
16,82,1.0,0.0,1.0,0.0
16,83,1.0,0.0,1.0,0.0
16,84,1.0,0.0,1.0,0.0
16,85,1.0,0.0,1.0,0.0
16,87,1.0,0.0,1.0,0.0
16,88,1.0,0.0,1.0,0.0
16,89,1.0,0.0,1.0,0.0
16,90,1.0,0.0,1.0,0.0
16,91,1.0,0.0,1.0,0.0
16,92,1.0,0.0,1.0,0.0
16,93,1.0,0.0,1.0,0.0
16,94,1.0,0.0,1.0,0.0
16,95,1.0,0.0,1.0,0.0
16,96,1.0,0.0,1.0,0.0
16,97,1.0,0.0,1.0,0.0
16,98,1.0,0.0,1.0,0.0
16,99,1.0,0.0,1.0,0.0
16,100,1.0,0.0,1.0,0.0
16,101,1.0,0.0,1.0,0.0
16,102,1.0,0.0,1.0,0.0
16,103,1.0,0.0,1.0,0.0
16,104,1.0,0.0,1.0,0.0
16,105,1.0,0.0,1.0,0.0
16,106,1.0,0.0,1.0,0.0
16,107,1.0,0.0,1.0,0.0
16,108,1.0,0.0,1.0,0.0
16,109,1.0,0.0,1.0,0.0
16,110,1.0,0.0,1.0,0.0
16,111,1.0,0.0,1.0,0.0
16,112,1.0,0.0,1.0,0.0
16,200,1.0,0.0,1.0,0.0
16,201,1.0,0.0,1.0,0.0
16,7004891687,1.0,0.0,1.0,0.0
16,7006694590,1.0,0.0,1.0,0.0
16,7102422991,2.0,0.0,2.0,0.0
16,7102658830,1.0,0.0,1.0,0.0
16,7103041111,1.0,0.0,1.0,0.0
16,7202992021,1.0,0.0,1.0,0.0
16,35380806400,1.0,0.0,1.0,0.0
16,36047010400,1.0,0.0,1.0,0.0
17,5,1.0,0.0,1.0,0.0
17,16,1.0,0.0,1.0,0.0
17,18,2.0,0.0,2.0,0.0
17,19,1.0,0.0,1.0,0.0
17,20,1.0,0.0,1.0,0.0
17,21,1.0,0.0,1.0,0.0
17,22,1.0,0.0,1.0,0.0
17,23,1.0,0.0,1.0,0.0
17,24,1.0,0.0,1.0,0.0
17,25,1.0,0.0,1.0,0.0
17,26,1.0,0.0,1.0,0.0
17,27,1.0,0.0,1.0,0.0
17,28,1.0,0.0,1.0,0.0
17,29,1.0,0.0,1.0,0.0
17,30,1.0,0.0,1.0,0.0
17,31,2.0,0.0,2.0,0.0
17,32,1.0,0.0,1.0,0.0
17,33,1.0,0.0,1.0,0.0
17,34,1.0,0.0,1.0,0.0
17,35,1.0,0.0,1.0,0.0
17,36,1.0,0.0,1.0,0.0
17,37,1.0,0.0,1.0,0.0
17,38,1.0,0.0,1.0,0.0
17,39,1.0,0.0,1.0,0.0
